,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
925,Color,Hugh Hudson,52.0,114.0,46.0,292.0,Eva Marie Saint,818.0,9435285,Adventure|Drama|Romance,Liam Aiken,I Dreamed of Africa ,3740,1778,Vincent Perez,1.0,dream|italian|kenya|ranch|snake,61.0,English,USA,PG-13,49028000.0,2000,649.0,5.6,2.35,314.0
926,Color,Tarsem Singh,225.0,109.0,763.0,311.0,Jake Weber,812.0,88367148,Horror|Sci-Fi|Thriller,Dylan Baker,The Cell ,79877,2474,James Gammon,1.0,coma|fbi|race against time|serial killer|strong female lead,677.0,English,USA,R,47586000.0,2000,551.0,6.3,2.35,
927,Color,Joe Charbanic,103.0,97.0,10.0,178.0,Joseph Sikora,18000.0,41713772,Crime|Horror|Mystery|Thriller,Keanu Reeves,The Watcher ,22220,18688,Chris Ellis,0.0,fbi|murder|scene of the crime|serial killer|therapy,181.0,English,USA,R,47586000.0,2000,223.0,5.3,1.85,463.0
928,Color,George Tillman Jr.,98.0,129.0,88.0,975.0,Charlize Theron,22000.0,70391098,Biography|Drama,Robert De Niro,Men of Honor ,89424,36069,Michael Rapaport,0.0,african american|amputee|navy|racial discrimination|racism,224.0,English,USA,R,46144000.0,2000,9000.0,7.2,2.35,
929,Color,Gregory Hoblit,168.0,118.0,40.0,617.0,Andre Braugher,2000.0,64866501,Crime|Drama|Mystery|Sci-Fi|Thriller,Dennis Quaid,Frequency ,81866,4045,Noah Emmerich,0.0,altering history|alternate history|amateur radio|ham radio|paranormal phenomena,510.0,English,USA,PG-13,44702000.0,2000,702.0,7.3,2.35,
930,Color,Raja Gosnell,100.0,99.0,67.0,330.0,Cedric the Entertainer,826.0,169520709,Action|Comedy|Crime,Nia Long,Big Momma's House ,66941,1790,Tichina Arnold,1.0,disguise|fbi|female impersonation|gender disguise|obesity,148.0,English,USA,PG-13,43260000.0,2000,436.0,5.1,1.85,1000.0
931,Color,Boaz Yakin,157.0,120.0,132.0,1000.0,Denzel Washington,33000.0,166765259,Biography|Drama|Sport,Ryan Gosling,Remember the Titans ,160776,54877,Ethan Suplee,1.0,american football|based on true story|head coach|high school|school,402.0,English,USA,PG,43260000.0,2000,18000.0,7.8,2.35,
932,Color,Jun Falkenstein,89.0,77.0,25.0,16.0,John Fiedler,304.0,65672171,Animation|Comedy|Drama|Family|Musical,Kath Soucie,The Tigger Movie ,13319,575,Ken Sansom,0.0,cartoon tiger|coming of age|tiger|tigger|title directed by female,53.0,English,USA,G,43260000.0,2000,253.0,6.3,1.78,347.0
933,Color,Edward Norton,148.0,128.0,,754.0,Milos Forman,955.0,53406494,Comedy|Drama|Romance,Lisa Edelstein,Keeping the Faith ,44816,5404,Anne Bancroft,3.0,celibacy|jewish|priest|rabbi|synagogue,259.0,English,USA,PG-13,43260000.0,2000,869.0,6.4,1.85,
934,Color,Patrick Lussier,122.0,99.0,71.0,1000.0,Danny Masterson,18000.0,47586543,Action|Fantasy|Horror|Thriller,Gerard Butler,Dracula 2000 ,27378,23344,Jeri Ryan,0.0,dracula|gothic|painting|rescue|van helsing,365.0,English,USA,R,40376000.0,2000,1000.0,4.9,2.35,
935,Color,Janusz Kaminski,100.0,97.0,710.0,258.0,Bob Clendenin,497.0,24196235,Drama|Horror|Thriller,Philip Baker Hall,Lost Souls ,9338,1805,Ben Chaplin,2.0,faith|mental patient|priest|scheme|teacher,167.0,English,USA,R,40376000.0,2000,347.0,4.8,2.35,209.0
936,Color,Andrzej Bartkowiak,70.0,115.0,43.0,775.0,Delroy Lindo,5000.0,80713550,Action|Crime|Thriller,Jet Li,Romeo Must Die ,57040,9082,Aaliyah,1.0,death|hong kong|kung fu|prison|waterfront,365.0,English,USA,R,36050000.0,2000,848.0,6.1,2.35,
937,Color,John Schlesinger,86.0,99.0,154.0,347.0,Rupert Everett,774.0,21606310,Comedy|Drama|Romance,Mark Valley,The Next Best Thing ,9361,2498,Illeana Douglas,1.0,best friend|cartoon on tv|custody battle|gay|gay friend,162.0,English,USA,PG-13,36050000.0,2000,692.0,4.7,1.85,378.0
938,Color,Jonathan Lynn,129.0,98.0,36.0,900.0,Matthew Perry,13000.0,82572513,Comedy|Crime,Bruce Willis,The Whole Nine Yards ,90374,17582,Natasha Henstridge,4.0,adultery|black humor|dentist|hitman|sex in bed,318.0,English,USA,R,34608000.0,2000,2000.0,6.7,1.85,
939,Color,Bonnie Hunt,106.0,115.0,597.0,597.0,Jim Belushi,893.0,47099035,Comedy|Drama|Romance,Minnie Driver,Return to Me ,16469,3946,Bonnie Hunt,1.0,heart|italian restaurant|restaurant|transplant|waitress,275.0,English,USA,PG,34608000.0,2000,854.0,6.9,1.85,
940,Color,Brian Robbins,51.0,107.0,48.0,940.0,Ellen Albertini Dow,1000.0,17841015,Comedy|Sport,Oliver Platt,Ready to Rumble ,11709,4971,Martin Landau,1.0,gay subtext|homoerotic fight|homoeroticism|homosexual subtext|wcw wrestling,101.0,English,USA,PG-13,34608000.0,2000,957.0,5.3,1.85,650.0
941,Color,Davis Guggenheim,63.0,90.0,49.0,191.0,Sharon Lawrence,12000.0,7366918,Drama|Mystery|Thriller,Norman Reedus,Gossip ,12519,12776,Noam Jenkins,5.0,college|college campus|gossip|rape|sex,112.0,English,USA,R,34608000.0,2000,215.0,5.9,2.35,853.0
942,Color,James Gray,93.0,115.0,115.0,977.0,Ellen Burstyn,9000.0,1272867,Crime|Drama|Romance|Thriller,Charlize Theron,The Yards ,16215,11433,Faye Dunaway,2.0,best friend|corruption|fall to death|female nudity|friend,138.0,English,USA,R,34608000.0,2000,1000.0,6.4,2.35,401.0
943,Color,James Wong,211.0,98.0,70.0,591.0,Brendan Fehr,1000.0,76861936,Horror|Thriller,Daniel Roebuck,Final Destination ,181058,3345,Kerr Smith,1.0,dead teenager|death|explosion|premonition|teenager,674.0,English,USA,R,33166000.0,2000,847.0,6.7,1.85,
944,Color,David Twohy,214.0,112.0,123.0,787.0,Radha Mitchell,14000.0,56576996,Horror|Sci-Fi,Vin Diesel,Pitch Black ,193962,16196,Cole Hauser,0.0,captain|darkness|eclipse|space|survival,805.0,English,USA,R,33166000.0,2000,991.0,7.1,2.35,5000.0
945,Color,Michael Dinner,53.0,88.0,12.0,249.0,Dan Hedaya,327.0,18773762,Comedy|Crime,Seymour Cassel,The Crew ,3914,1509,Lainie Kazan,4.0,beach|drug lord|drugs|hotel|stripper,47.0,English,USA,PG-13,33166000.0,2000,281.0,5.6,1.85,153.0
946,Color,Rod Lurie,136.0,126.0,37.0,883.0,Gary Oldman,12000.0,25673761,Drama|Thriller,Jeff Bridges,The Contender ,20449,25660,William Petersen,0.0,bridge|governor|political thriller|president|vice president,370.0,English,USA,R,28840000.0,2000,10000.0,7.0,1.85,1000.0
947,Color,Amy Heckerling,81.0,98.0,143.0,153.0,Robert Miano,302.0,22299125,Comedy|Romance,Andy Dick,Loser ,23076,1189,Zak Orth,2.0,college|loser|love|new york city|overdose,158.0,English,USA,PG-13,28840000.0,2000,216.0,5.3,1.85,1000.0
948,Color,Nicholas Hytner,68.0,115.0,13.0,111.0,Susan May Pratt,757.0,24766162,Drama|Music|Romance,Amanda Schull,Center Stage ,15817,1201,Ethan Stiefel,2.0,ballet|dance|dancer|dancing|love,210.0,English,USA,PG-13,25956000.0,2000,220.0,6.7,2.35,
949,Color,Woody Allen,128.0,94.0,11000.0,975.0,Jon Lovitz,11000.0,24616713,Comedy|Crime,Woody Allen,Small Time Crooks ,31169,23283,Michael Rapaport,0.0,apartment building|crook|new york city|three word title|written and directed by cast member,192.0,English,USA,PG,25956000.0,2000,11000.0,6.7,1.85,812.0
950,Color,Robert Iscove,67.0,94.0,7.0,95.0,Amanda Detmer,3000.0,29744670,Comedy|Drama|Romance,Alyson Hannigan,Boys and Girls ,13661,3451,Tsianina Joelson,3.0,best friend|break up|friendship|graduation|male in underwear,134.0,English,USA,PG-13,23072000.0,2000,240.0,5.3,1.85,487.0
951,Color,Nick Gomez,84.0,96.0,22.0,324.0,Jamie Lee Curtis,8000.0,22246010,Comedy|Crime|Mystery,Will Ferrell,Drowning Mona ,11768,11078,Tracey Walter,0.0,crying woman|plot|suspect|waitress|younger man older woman relationship,148.0,English,USA,PG-13,23072000.0,2000,2000.0,5.6,1.85,492.0
952,Color,Todd Phillips,103.0,94.0,480.0,486.0,Rachel Blanchard,1000.0,98813928,Comedy,Ethan Suplee,Road Trip ,132963,3889,Paulo Costanzo,5.0,blonde|college|friend|highway travel|road trip,302.0,English,USA,R,22495200.0,2000,490.0,6.5,1.85,
953,Color,Rob Cohen,102.0,106.0,357.0,883.0,Leslie Bibb,23000.0,50480353,Action|Crime|Drama|Thriller,Paul Walker,The Skulls ,26846,26652,William Petersen,0.0,college|friend|ivy league|secret society|suicide,193.0,English,USA,PG-13,21630000.0,2000,1000.0,5.6,1.85,
954,Color,Matt Williams,78.0,120.0,18.0,944.0,James Frain,20000.0,48698032,Comedy|Drama|Romance,Natalie Portman,Where the Heart Is ,27044,22383,Stockard Channing,2.0,birth|oklahoma|photographer|tennessee|wal mart,240.0,English,USA,PG-13,21630000.0,2000,1000.0,6.8,1.85,
955,Color,Gina Prince-Bythewood,68.0,124.0,107.0,865.0,Sanaa Lathan,1000.0,39570097,Drama|Romance|Sport,Alfre Woodard,Love & Basketball ,14322,5135,Omar Epps,0.0,basketball movie|female basketball player|high school|nba|title directed by female,116.0,English,USA,PG-13,21630000.0,2000,886.0,7.2,1.85,
956,Color,Joe Berlinger,160.0,90.0,31.0,162.0,Erica Leerhsen,193.0,38099534,Adventure|Fantasy|Horror|Mystery|Thriller,Kim Director,Book of Shadows: Blair Witch 2 ,28964,608,Kurt Loder,0.0,convenience store|digit in title|punctuation in title|violence|witch,457.0,English,USA,R,21630000.0,2000,184.0,4.0,1.85,949.0
957,Color,Douglas Aarniokoski,90.0,101.0,36.0,377.0,Adrian Paul,1000.0,18459315,Action|Adventure|Fantasy|Sci-Fi,Christopher Lambert,Highlander: Endgame ,16340,2764,Adam Copeland,1.0,battle|explosion|immortal|revenge|sequel to cult film,355.0,English,USA,R,21630000.0,2000,786.0,4.6,2.35,356.0
958,Color,Mark Piznarski,44.0,96.0,4.0,670.0,Chris Klein,989.0,15132559,Drama|Romance,Bruce Greenwood,Here on Earth ,7403,3142,Elaine Hendrix,1.0,diner|love|private school|school|small town,162.0,English,USA,PG-13,21630000.0,2000,841.0,5.1,1.85,648.0
959,Color,David Raynr,50.0,94.0,9.0,612.0,Jodi Lyn O'Keefe,11000.0,12596632,Comedy|Drama|Romance,James Franco,Whatever It Takes ,8055,13524,Marla Sokoloff,4.0,male objectification|manipulative behavior|modern day adaptation|narcissistic woman|promiscuous woman,89.0,English,USA,PG-13,21630000.0,2000,897.0,5.5,1.85,816.0
960, Black and White,Mary Lambert,49.0,105.0,52.0,275.0,Susan Ward,477.0,7523632,Drama|Mystery|Thriller,Matthew Settle,The In Crowd ,3668,2312,A.J. Buckley,4.0,clique|country club|female protagonist|lip gloss|title directed by female,85.0,English,USA,PG-13,21630000.0,2000,397.0,4.6,1.85,157.0
961,Color,Bruce Paltrow,65.0,112.0,28.0,215.0,Marian Seldes,555.0,6826766,Comedy|Drama|Music,Lochlyn Munro,Duets ,8217,1227,Huey Lewis,0.0,convict|karaoke|middle america|salesman|singer,123.0,English,USA,R,21630000.0,2000,403.0,6.0,1.85,573.0
962,Color,John Ottman,108.0,97.0,83.0,579.0,Joey Lawrence,912.0,30958019,Horror|Mystery|Thriller,Loretta Devine,Urban Legends: Final Cut ,13048,2682,Jacinda Barrett,2.0,film set|movie set|sequel|slow motion|urban legend,227.0,English,USA,R,20188000.0,2000,786.0,4.1,2.35,243.0
963,Color,Barry Levinson,34.0,103.0,272.0,70.0,Brían F. O'Byrne,736.0,108262,Comedy,Anna Friel,An Everlasting Piece ,1398,1403,Pauline McLynn,4.0,alopecia|belfast northern ireland|ireland|irish republican army|scalper,26.0,English,USA,R,20188000.0,2000,450.0,6.3,1.85,132.0
964,Color,Chris Koch,42.0,89.0,13.0,329.0,Mark Webber,571.0,86531972,Adventure|Comedy|Family,Chris Elliott,Snow Day ,9285,2241,Jean Smart,1.0,meteorologist|snow|snowed in|snowplow|weather,91.0,English,USA,PG,18746000.0,2000,442.0,4.9,1.85,
965,Color,Danny Leiner,106.0,83.0,8.0,612.0,Mary Lynn Rajskub,3000.0,67383757,Comedy|Mystery,Jennifer Garner,"Dude, Where's My Car? ",116625,6454,Marla Sokoloff,2.0,bare chested male|gay kiss|homoeroticism|lesbian kiss|transsexual,469.0,English,USA,PG-13,18746000.0,2000,934.0,5.5,1.37,
966,Color,Reginald Hudlin,58.0,84.0,71.0,553.0,John Witherspoon,8000.0,19600921,Comedy,Will Ferrell,The Ladies Man ,10777,10982,Tim Meadows,1.0,black pantyhose|female stockinged legs|pantyhose|radio|tattoo,79.0,English,USA,R,15862000.0,2000,723.0,5.1,1.85,671.0
967,Color,Peyton Reed,139.0,98.0,235.0,229.0,Lindsay Sloane,4000.0,98565819,Comedy|Sport,Kirsten Dunst,Bring It On ,70141,5270,Clare Kramer,1.0,championship|cheerleading|high school|teen comedy|teenage romance,385.0,English,USA,PG-13,14420000.0,2000,464.0,5.9,1.85,
968,Color,Scott Alexander,29.0,81.0,25.0,654.0,Dave Chappelle,931.0,10069024,Comedy|Crime,Sarah Silverman,Screwed ,6965,3848,Sherman Hemsley,0.0,chauffeur|disorganized crime|dog|ransom|slapstick,69.0,English,USA,PG-13,14420000.0,2000,744.0,5.7,1.85,262.0
969,Color,Spike Lee,57.0,135.0,,851.0,Michael Rapaport,1000.0,3151153,Comedy|Drama|Music,Gillian White,Bamboozled ,8720,4266,Jada Pinkett Smith,0.0,actor|minstrel show|protest|success|writer,186.0,English,USA,R,14420000.0,2000,975.0,6.5,1.85,1000.0
970,Color,Eric Blakeney,49.0,101.0,3.0,826.0,Oliver Platt,14000.0,2353111,Comedy|Crime|Romance,Liam Neeson,Gun Shy ,5936,17665,Mitch Pileggi,0.0,colombian|enema|group therapy|murder|nurse,91.0,English,USA,R,14420000.0,2000,1000.0,5.7,1.85,242.0
971,Color,Takeshi Kitano,81.0,114.0,,403.0,Tatyana Ali,865.0,645655,Crime|Drama|Thriller,Omar Epps,Brother ,18520,2126,James Shigeta,0.0,gang|gangster|subjective camera|written and directed by cast member|yakuza,133.0,English,USA,R,14420000.0,2000,685.0,7.2,1.85,
972,Color,Steve Carr,55.0,98.0,41.0,525.0,Mike Epps,723.0,82448631,Comedy,John Witherspoon,Next Friday ,27492,3939,Rolando Molina,1.0,african american|flashback|marijuana joint|porn magazine|suburb,84.0,English,USA,R,13699000.0,2000,706.0,6.1,1.85,
973, Black and White,Christopher Nolan,274.0,113.0,22000.0,379.0,Thomas Lennon,716.0,36815534,Mystery|Thriller,Callum Rennie,Memento ,845580,1997,Jorja Fox,0.0,flashback|memory|murder|short term memory|telephone,2067.0,English,USA,R,12978000.0,2000,651.0,8.5,2.35,40000.0
974,Color,Kris Isacsson,64.0,91.0,,407.0,Lauren German,3000.0,28890917,Comedy|Drama|Romance,Rosario Dawson,Down to You ,12324,4409,Shawn Hatosy,1.0,artist|cake|college|new york city|student,173.0,English,USA,PG-13,12978000.0,2000,683.0,4.9,1.85,580.0
975,Color,Christopher McQuarrie,117.0,119.0,188.0,35.0,Nicky Katt,187.0,8721008,Action|Crime|Drama|Thriller,Kristin Lehman,The Way of the Gun ,27536,358,Dylan Kussman,4.0,criminal|drifter|gangster|money|surrogate mother,327.0,English,USA,R,12257000.0,2000,127.0,6.7,1.85,1000.0
976,Color,Ben Younger,132.0,120.0,46.0,701.0,Nia Long,14000.0,24424854,Crime|Drama|Thriller,Vin Diesel,Boiler Room ,41313,17336,Herbert Russell,3.0,career|casino|judge|stock|stock broker,246.0,English,USA,R,11536000.0,2000,826.0,7.0,1.85,
977,Color,Fina Torres,72.0,92.0,26.0,417.0,John de Lancie,1000.0,7236604,Comedy|Fantasy|Romance,Harold Perrineau,Woman on Top ,8546,2687,Mark Feuerstein,0.0,cross dresser|food|friend|motion sickness|restaurant,86.0,English,USA,R,11536000.0,2000,905.0,5.3,2.35,859.0
978,Color,Mary Harron,288.0,102.0,126.0,517.0,Justin Theroux,23000.0,21698378,Crime|Drama,Christian Bale,American Psycho ,357275,25462,Samantha Mathis,1.0,1980s|business card|male rear nudity|materialism|narcissism,1061.0,English,USA,R,10094000.0,2000,1000.0,7.6,2.35,18000.0
979,Color,Christopher Guest,119.0,90.0,378.0,658.0,Catherine O'Hara,957.0,26851841,Comedy,John Michael Higgins,Best in Show ,45859,4611,Michael McKean,9.0,dog show|gay|gay character|gay couple|gay interest,340.0,English,USA,PG-13,8652000.0,2000,925.0,7.5,1.85,
980,Color,DJ Pooh,22.0,82.0,69.0,585.0,Mike Epps,939.0,14162365,Comedy,Mo'Nique,3 Strikes ,1415,3354,Faizon Love,1.0,adult diaper|diaper|digit in title|dream|sawed off shotgun,10.0,English,USA,R,8652000.0,2000,706.0,4.0,1.85,118.0
981,Color,Ed Harris,115.0,122.0,,221.0,Bud Cort,697.0,12396749,Biography|Drama,John Heard,Pollock ,23023,1517,Amy Madigan,0.0,1940s|artist|drinking|life magazine|painter,148.0,English,USA,R,8652000.0,2000,394.0,7.0,1.85,
982,Color,Jay Russell,79.0,95.0,13.0,430.0,Frankie Muniz,1000.0,49171680,Drama|Family|Sport,Clint Howard,My Dog Skip ,16651,2515,Cody Linley,0.0,1940s|dog|mississippi|puppy|veteran,149.0,English,USA,PG,7210000.0,2000,934.0,7.0,1.37,
983,Color,Mamoru Hosoda,29.0,82.0,99.0,44.0,Colleen O'Shaughnessey,93.0,13884658,Action|Adventure|Animation|Family|Sci-Fi,Lara Jill Miller,Digimon: The Movie ,5164,315,Mona Marshall,0.0,based on video game|box office hit|computer|digimon|internet,65.0,English,USA,PG,7210000.0,2000,45.0,5.9,1.85,207.0
984,Color,Darren Aronofsky,234.0,102.0,,167.0,Mark Margolis,1000.0,5204578,Drama,Ellen Burstyn,Requiem for a Dream ,573541,2235,Louise Lasser,0.0,addiction|diet pill|drug addiction|fast motion scene|heroin,1916.0,English,USA,R,6489000.0,2000,1000.0,8.4,1.37,38000.0
985,Color,Spike Lee,53.0,115.0,,360.0,Cedric the Entertainer,1000.0,55038287,Comedy|Documentary,Bernie Mac,The Original Kings of Comedy ,4687,1964,Steve Harvey,0.0,backstage|comedian|concert film|emcee|stand up comedian,83.0,English,USA,R,4326000.0,2000,436.0,6.6,1.85,290.0
986,Color,Peter M. Cohen,48.0,82.0,,51.0,Brian Van Holt,472.0,5973495,Comedy|Romance,Callie Thorne,Whipped ,3665,858,David Heyman,1.0,dating|diner|masturbation|urination|washington square manhattan new york city,81.0,English,USA,R,4326000.0,2000,324.0,4.4,1.85,131.0
987,Color,Maggie Greenwald,39.0,109.0,9.0,280.0,David Patrick Kelly,767.0,4399446,Drama|Music,Aidan Quinn,Songcatcher ,2794,2187,Jane Adams,1.0,doctor|mountain|musician|song|university,78.0,English,USA,PG-13,2595600.0,2000,380.0,7.3,1.85,
988,Color,Kenneth Lonergan,122.0,111.0,50.0,612.0,Rory Culkin,2000.0,13237956,Drama,Matthew Broderick,You Can Count on Me ,22145,4288,Gaby Hoffmann,0.0,bank|car accident|cheating husband|new york|single mother,231.0,English,USA,R,1730400.0,2000,710.0,7.7,1.85,756.0
989,Color,Greg Berlanti,51.0,94.0,112.0,428.0,Nia Long,1000.0,2516085,Comedy|Drama|Romance|Sport,Justin Theroux,The Broken Hearts Club: A Romantic Comedy ,6084,3085,Mary McCormack,1.0,friend|gay|lesbian|photographer|restaurant,120.0,English,USA,R,1442000.0,2000,826.0,7.0,2.35,671.0
990,Color,José Luis Valenzuela,13.0,100.0,,268.0,Lupe Ontiveros,844.0,617947,Comedy|Romance,Cheech Marin,Luminarias ,505,2289,Robert Beltran,1.0,divorce|friend|jewish|lent|restaurant,32.0,English,USA,R,1442000.0,2000,625.0,3.6,,24.0
991,Color,Craig Mazin,29.0,82.0,82.0,490.0,James Gunn,2000.0,18740,Action|Comedy|Fantasy|Sci-Fi,Judy Greer,The Specials ,1938,3905,Jamie Kennedy,0.0,action figure|press conference|superhero|superhero team|toy,54.0,English,USA,R,1442000.0,2000,571.0,6.0,1.85,210.0
992,Color,Jon Gunn,15.0,106.0,16.0,254.0,David A.R. White,602.0,248006,Action|Crime|Drama,Stacy Keach,Mercy Streets ,448,1281,Cynthia Watros,1.0,church|cigarette smoking|deacon|twin brother|twins,16.0,English,USA,PG-13,865200.0,2000,266.0,5.6,1.85,12.0
993,Color,Greg Harrison,46.0,86.0,7.0,17.0,Ari Gold,328.0,1607747,Drama|Music,Rachel True,Groove ,3562,407,Denny Kirkwood,0.0,dj|ecstasy the drug|rave|raver|warehouse,74.0,English,USA,R,721000.0,2000,27.0,6.5,1.85,
994,Color,Miguel Arteta,59.0,96.0,44.0,129.0,Mike White,625.0,1514965,Comedy|Drama,Lupe Ontiveros,Chuck & Buck ,4662,1378,Chris Weitz,0.0,best friend|bisexuality|friend|gay kiss|sexuality,136.0,English,USA,R,360500.0,2000,487.0,6.6,1.85,170.0
995,Color,Jon Shear,38.0,106.0,,131.0,Josh Hamilton,254.0,1481105,Drama,Dan Futterman,Urbania ,2742,964,Matt Keeslar,1.0,hot dog bun|needle|new york|rat|tourist,73.0,English,USA,R,324450.0,2000,147.0,7.0,1.85,72.0
996,Color,Gary Winick,91.0,78.0,56.0,184.0,Aaron Stanford,376.0,4155933,Comedy|Drama|Romance,Bebe Neuwirth,Tadpole ,5178,1144,Ron Rifkin,2.0,best friend|boy|french|friend|love,101.0,English,USA,PG-13,216300.0,2000,346.0,6.3,1.85,132.0
997,Color,David Gordon Green,75.0,90.0,234.0,15.0,Eddie Rouse,552.0,348698,Drama,Paul Schneider,George Washington ,6246,642,Damian Jewan Lee,0.0,cover up|north carolina|redemption|small town|teenager,76.0,English,USA,Unrated,60564.0,2000,61.0,7.5,2.35,451.0
998,Color,Don Kempf,14.0,46.0,,69.0,Michael Jordan,13000.0,26882222,Documentary|Sport,Bill Murray,Michael Jordan to the Max ,1723,13448,Bob Costas,0.0,basketball|basketball player|character name in title|chicago bulls|imax,13.0,English,USA,,,2000,366.0,7.5,1.44,407.0
999,Color,Griffin Dunne,13.0,90.0,165.0,679.0,Fisher Stevens,978.0,162255,Comedy|Drama,Mira Sorvino,Lisa Picard Is Famous ,455,3258,Melissa Gilbert,1.0,actress|fame|inside joke|new york|one man show,16.0,English,USA,PG-13,,2000,922.0,5.7,,25.0
1000,Color,Bob Giraldi,39.0,99.0,34.0,120.0,Manny Perez,388.0,158620,Crime|Drama|Romance,Danny Aiello,Dinner Rush ,4359,1156,Ajay Naidu,1.0,detective|food|gangster|police|restaurant,73.0,English,USA,R,,2000,159.0,7.3,1.85,495.0
1001,Color,Catherine Jelski,13.0,87.0,,258.0,Eion Bailey,1000.0,83871,Drama,Leslie Bibb,The Young Unknowns ,122,2359,Arly Jover,0.0,based on play|independent film,3.0,English,USA,R,,2000,749.0,4.2,,4.0
1002, Black and White,Michael Bay,191.0,184.0,,691.0,Jaime King,3000.0,275970398,Action|Drama|History|Romance|War,Jennifer Garner,Pearl Harbor ,254111,5401,Mako,0.0,air raid|black smoke|japanese military|japanese navy|sunday,1999.0,English,USA,PG-13,194600000.0,2001,961.0,6.1,2.35,
1003,Color,Hironobu Sakaguchi,166.0,106.0,6.0,422.0,Ming-Na Wen,12000.0,44663243,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,Steve Buscemi,Final Fantasy: The Spirits Within ,72259,15015,Jean Simmons,1.0,general|military|scientist|soldier|year 2065,788.0,English,USA,PG-13,190430000.0,2001,2000.0,6.4,1.85,
1004,Color,Gary Trousdale,146.0,95.0,21.0,503.0,Jim Varney,12000.0,116811484,Action|Adventure|Animation|Family|Fantasy|Sci-Fi,Leonard Nimoy,Atlantis: The Lost Empire ,72591,15237,Cree Summer,0.0,atlantis|crew|expedition|journal|museum,289.0,English,USA,PG,166800000.0,2001,802.0,6.8,2.35,
1005,Color,Pete Docter,250.0,92.0,,773.0,John Ratzenberger,12000.0,402971311,Adventure|Animation|Comedy|Family|Fantasy,Steve Buscemi,"Monsters, Inc. ",585659,15013,James Coburn,0.0,friend|little girl|monster|rival|scream,593.0,English,USA,G,159850000.0,2001,1000.0,8.1,1.85,
1006,Color,Simon West,199.0,100.0,165.0,240.0,Noah Taylor,11000.0,182290414,Action|Adventure|Fantasy|Thriller,Angelina Jolie Pitt,Lara Croft: Tomb Raider ,157016,12150,Chris Barrie,1.0,illuminati|planetary alignment|time|tomb|tomb raider,824.0,English,USA,PG-13,159850000.0,2001,509.0,5.7,2.35,
1007, Black and White,Michael Mann,174.0,165.0,,780.0,Jada Pinkett Smith,10000.0,80875712,Biography|Drama|Sport,Will Smith,Ali ,79186,14196,Joe Morton,1.0,african american protagonist|african americans|boxing gym|gym|rumble in the jungle,386.0,English,USA,R,148730000.0,2001,851.0,6.8,2.35,
1008,Color,Tim Burton,230.0,119.0,13000.0,567.0,Estella Warren,1000.0,250216318,Action|Adventure|Sci-Fi|Thriller,Cary-Hiroyuki Tagawa,Planet of the Apes ,177725,2776,Erick Avari,0.0,astronaut|cage|planet|wilhelm scream|year 2029,1368.0,English,USA,PG-13,139000000.0,2001,658.0,5.7,2.35,
1009,Color,Tim Burton,230.0,119.0,13000.0,567.0,Estella Warren,1000.0,250216318,Action|Adventure|Sci-Fi|Thriller,Cary-Hiroyuki Tagawa,Planet of the Apes ,177729,2776,Erick Avari,0.0,astronaut|cage|planet|wilhelm scream|year 2029,1368.0,English,USA,PG-13,139000000.0,2001,658.0,5.7,2.35,
1010,Color,Steven Spielberg,281.0,146.0,14000.0,681.0,William Hurt,3000.0,109277197,Adventure|Drama|Sci-Fi,Haley Joel Osment,A.I. Artificial Intelligence ,238747,6217,Kevin Sussman,0.0,affection|boy|fairy|future|robot,2153.0,English,USA,PG-13,139000000.0,2001,882.0,7.1,1.85,11000.0
1011,Color,Stephen Sommers,202.0,130.0,208.0,591.0,Brendan Fraser,12000.0,280790619,Action|Adventure|Fantasy|Thriller,Dwayne Johnson,The Mummy Returns ,248045,15972,Patricia Velasquez,5.0,ancient egypt|bracelet|king|scorpion|son,890.0,English,USA,PG-13,136220000.0,2001,3000.0,6.3,2.35,
1012,Color,Joe Johnston,198.0,92.0,394.0,527.0,Trevor Morgan,693.0,251820899,Action|Adventure|Sci-Fi|Thriller,Michael Jeter,Jurassic Park III ,219501,2574,Alessandro Nivola,0.0,dinosaur|island|jurassic park|paleontologist|search,1236.0,English,USA,PG-13,129269999.99999999,2001,595.0,5.9,1.85,
1013,Color,Ridley Scott,200.0,152.0,,557.0,Sam Shepard,2000.0,151007855,Drama|History|War,Ioan Gruffudd,Black Hawk Down ,292022,4270,Ewen Bremner,0.0,army|helicopter|somali|somalia|warlord,1103.0,English,USA,R,127879999.99999999,2001,820.0,7.7,2.35,10000.0
1014,Color,Brett Ratner,127.0,90.0,420.0,141.0,John Lone,191.0,314332451,Action|Comedy|Crime|Thriller,Mei Melançon,Rush Hour 2 ,160440,664,Harris Yulin,2.0,boat|gang|hong kong|triad|vacation,394.0,English,USA,PG-13,125099999.99999999,2001,165.0,6.6,2.35,
